Date,Open,High,Low,Last,Close,Total Trade Quantity,Turnover (Lacs)
2010-07-21,122.1,123.0,121.05,121.1,121.55,658666,803.56
2010-07-22,120.3,122.0,120.25,120.75,120.9,293312,355.17
2010-07-23,121.8,121.95,120.25,120.35,120.65,281312,340.31
2010-07-26,120.1,121.0,117.1,117.1,117.6,658440,780.01
2010-07-27,117.6,119.5,112.0,118.8,118.65,586100,694.98
2010-07-28,118.0,120.5,117.2,118.15,118.25,835593,994.01
2010-07-29,112.5,121.7,112.5,117.5,116.6,2359134,2791.03
2010-07-30,116.5,118.0,114.6,115.85,116.05,2656191,3112.68
2010-08-02,117.3,118.5,116.6,118.1,117.3,663593,779.85
2010-08-03,118.3,119.95,117.9,118.65,118.3,611234,726.78
2010-08-04,118.5,119.0,116.1,116.65,116.5,1012396,1184.49
2010-08-05,117.0,117.0,113.8,114.1,114.05,777490,893.61
2010-08-06,114.1,114.9,111.75,112.2,112.1,547881,620.33
2010-08-09,112.0,113.85,112.0,113.2,112.85,415026,468.6
2010-08-10,112.9,114.3,111.55,112.05,112.3,327364,368.92
2010-08-11,113.75,115.5,112.0,113.9,113.9,1307966,1499.66
2010-08-12,113.0,114.45,112.25,112.8,112.55,434265,492.18
2010-08-13,113.4,116.0,112.6,114.1,114.15,755675,868.71
2010-08-16,115.95,115.95,110.75,112.0,111.25,818831,919.52
2010-08-17,111.9,112.4,109.7,110.2,110.1,1079479,1196.57
2010-08-18,110.15,111.2,108.1,108.5,108.85,959932,1052.23
2010-08-19,110.0,114.35,108.5,113.35,113.05,1643818,1846.35